========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
-0.15741979,-0.29416480,-0.96416560,-0.15554442,-0.01551982,-0.00594674,,,
-0.99519119,0.03350699,-1.85006079,-0.32697186,-0.00976613,0.15428070,,,
-1.00916762,0.45636283,-2.56598346,-0.54132922,-0.01351942,0.13807432,,,
-0.86462506,0.93718076,-2.87684270,-0.66481814,-0.06497820,0.14049086,,,
-0.56533390,1.18143992,-2.75179843,-0.77517942,-0.10055959,0.20617346,,,
-0.49261405,0.62973039,-2.69198883,-0.76637686,-0.06980539,0.15824662,,,
0.63775005,0.25239832,-2.06950244,-0.62207847,-0.06725193,-0.03332259,,,
1.38552603,0.12395295,-1.56189396,-0.43812687,-0.03646960,-0.20350121,,,
1.41923169,-0.35485528,-1.04452610,-0.29790198,0.00531935,-0.31879101,,,
0.04298154,-0.04227467,0.03220636,-0.02467105,-0.01898079,-0.10113402,,,
-0.31123715,-0.41570074,-0.89236038,-0.09319122,-0.03255140,-0.08174564,,,
-1.19879265,-0.00298596,-1.71700787,-0.27636059,-0.05259845,0.08655590,,,
-1.45043802,0.05745102,-2.29594372,-0.51539536,-0.09016269,0.06816559,,,
-1.40886451,0.82187747,-2.58135815,-0.61514800,-0.11356662,0.13061545,,,
-1.24095121,1.11062294,-2.61552150,-0.68996749,-0.14991750,0.19611477,,,
-0.94101825,0.34018043,-2.24865217,-0.72413866,-0.14751998,0.11210146,,,
0.10265416,0.22977928,-1.77424985,-0.55964097,-0.11794760,-0.07631885,,,
0.83770627,0.01590137,-1.22242226,-0.40236216,-0.09914629,-0.25074760,,,
0.85010379,-0.44039194,-0.74493574,-0.23262672,-0.05135470,-0.34722676,,,
-0.01742429,-0.16754047,0.00612654,-0.03276507,-0.02430642,-0.19529063,,,
-0.43261062,-0.48399915,-0.98039588,-0.09432257,-0.04855967,-0.17483203,,,
-1.23615319,-0.07978643,-1.74627853,-0.28416097,-0.07883072,-0.01061947,,,
-1.52612914,0.24440446,-2.21698015,-0.49832327,-0.10084063,0.02912911,,,
-1.48428484,0.66977972,-2.56885802,-0.60312632,-0.13844514,0.05174310,,,
-1.32914615,1.02767614,-2.50254233,-0.70521748,-0.16956396,0.10024506,,,
-1.19342960,0.17276862,-2.24796123,-0.71191311,-0.16213584,0.03277196,,,
-0.08287392,0.17618668,-1.69299340,-0.56177998,-0.13917441,-0.14289332,,,
0.65541649,-0.14872009,-1.17539717,-0.37991870,-0.10619690,-0.32183667,,,
0.73252582,-0.54617305,-0.66447190,-0.21597925,-0.05761812,-0.41730488,,,
-0.03312285,-0.23765932,-0.03905138,-0.01950383,-0.02804311,-0.26880806,,,
,,,,,,,,
,,,,,,,,
========== 归一化平方误差 ((误差/量程)²) ==========,,,,,,,,
通道分类,((Fx-Fx')/量程)²,((Fy-Fy')/量程)²,((Fz-Fz')/量程)²,((Mx-Mx')/量程)²,((My-My')/量程)²,((Mz-Mz')/量程)²,,
Fx,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Fx,1.488437e-08,2.395449e-07,1.487066e-10,1.706313e-07,2.490933e-05,5.362407e-06,,
Fx,4.079443e-09,5.083093e-07,2.356146e-07,3.497540e-13,1.547862e-04,7.571434e-06,,
Fx,6.840950e-10,2.915845e-07,1.678411e-06,4.667795e-07,4.754307e-04,1.654704e-06,,
Fx,2.741440e-07,4.092286e-07,4.425410e-06,1.315397e-06,1.047892e-03,1.866611e-06,,
Fx,1.339052e-06,5.516136e-06,8.659484e-06,5.765839e-06,1.750748e-03,1.963243e-04,,
Fx,9.379354e-07,7.508932e-06,1.725261e-06,3.424469e-06,6.700278e-04,1.499429e-04,,
Fx,1.014663e-06,1.094336e-05,3.081150e-07,2.893988e-06,2.106750e-04,1.642337e-04,,
Fx,9.610229e-07,1.413383e-05,2.696172e-08,1.560771e-06,3.050399e-05,1.636272e-04,,
Fx,8.246893e-07,1.743791e-05,2.115979e-07,4.173073e-08,1.262689e-07,1.472166e-04,,
Fx,5.551703e-07,4.454875e-06,1.553112e-07,9.001596e-08,2.141016e-06,3.107683e-09,,
Fx,4.642754e-07,1.300411e-06,3.021266e-07,9.885470e-07,1.807045e-05,6.243442e-06,,
Fx,1.914411e-07,1.253269e-06,8.880936e-09,1.046988e-07,1.271178e-04,2.924853e-06,,
Fx,3.182321e-07,9.146474e-07,7.827577e-07,3.488617e-08,4.184775e-04,2.003456e-06,,
Fx,7.081731e-07,3.983729e-07,2.671617e-06,4.636708e-07,9.409906e-04,2.740833e-06,,
Fx,2.086794e-06,3.669537e-06,5.153070e-06,2.247336e-06,1.641926e-03,3.209404e-05,,
Fx,1.284031e-06,4.661729e-06,6.555960e-07,1.369294e-06,6.015160e-04,2.062500e-05,,
Fx,1.520178e-06,6.804367e-06,2.159258e-08,5.354431e-07,1.938674e-04,2.777341e-05,,
Fx,9.093544e-07,9.449162e-06,7.179820e-07,2.477866e-08,2.662351e-05,3.161286e-05,,
Fx,9.445151e-07,1.162382e-05,1.175277e-06,8.084384e-09,3.197407e-07,2.404319e-05,,
Fx,1.150962e-06,7.429099e-06,6.717631e-07,7.211817e-07,1.958024e-07,2.865254e-08,,
Fx,6.095180e-07,3.839237e-06,6.976670e-07,1.465771e-06,1.969385e-05,6.340730e-06,,
Fx,6.414837e-07,3.370054e-06,3.015021e-08,2.202966e-07,1.290479e-04,2.985754e-06,,
Fx,4.545038e-07,2.270666e-06,1.085417e-07,8.208340e-08,4.357620e-04,2.882148e-06,,
Fx,1.127332e-06,1.365692e-06,1.357172e-06,1.002787e-07,9.585570e-04,4.089024e-06,,
Fx,2.680823e-06,1.448388e-06,3.146265e-06,6.951934e-07,1.630009e-03,6.894911e-09,,
Fx,1.597555e-06,2.482064e-06,2.571114e-07,1.387938e-06,5.584657e-04,6.027852e-07,,
Fx,1.610616e-06,4.613652e-06,1.276750e-07,3.373275e-07,1.688494e-04,1.258462e-08,,
Fx,1.620660e-06,6.300526e-06,1.605661e-06,6.547744e-08,2.341085e-05,4.353946e-07,,
Fx,1.846177e-06,7.875807e-06,2.101818e-06,1.211948e-07,1.515660e-06,4.670042e-08,,
Fx,1.626266e-06,1.026255e-05,1.269214e-06,1.592176e-07,1.850682e-06,1.308809e-08,,
Fx,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Fx,3.601764e-07,1.244104e-07,3.902168e-07,4.605370e-07,2.454564e-05,3.349407e-07,,
Fx,1.198511e-06,1.313499e-06,1.370253e-07,1.163376e-06,6.330393e-05,5.588209e-06,,
Fx,2.307510e-06,2.266434e-06,4.370343e-08,1.394713e-06,1.447487e-04,8.954176e-06,,
Fx,3.337547e-06,2.862436e-06,1.301261e-06,1.797282e-06,5.818828e-04,8.031769e-06,,
Fx,3.943435e-06,4.693793e-06,4.714228e-06,1.586745e-06,1.487704e-03,1.485829e-05,,
Fx,1.427860e-06,3.562643e-06,1.906578e-06,2.182882e-07,9.290756e-04,1.486387e-05,,
Fx,1.271405e-08,2.755401e-06,3.151944e-07,1.841347e-07,3.580516e-04,1.479806e-05,,
Fx,4.413795e-09,1.339525e-06,2.974121e-07,1.162206e-07,1.767136e-04,1.000817e-05,,
Fx,3.661976e-08,9.398595e-08,9.299528e-07,6.930583e-12,1.302354e-04,4.721256e-07,,
Fx,1.727247e-07,1.766342e-10,2.024575e-08,3.473154e-08,7.756674e-07,1.373223e-08,,
Fx,3.394125e-08,1.808268e-07,2.415754e-07,6.622278e-07,2.605831e-05,1.749776e-07,,
Fx,5.346320e-07,1.117142e-06,7.524227e-08,1.346452e-06,6.570695e-05,3.763698e-06,,
Fx,1.472775e-06,2.572462e-06,1.665814e-10,9.070669e-07,1.446261e-04,9.581099e-06,,
Fx,2.514541e-06,3.385576e-06,7.108885e-07,1.312818e-06,5.834387e-04,8.543212e-06,,
Fx,3.494916e-06,4.350397e-06,3.981579e-06,1.199711e-06,1.596640e-03,1.095628e-05,,
Fx,1.015933e-06,3.688682e-06,1.632861e-06,2.390109e-07,9.323357e-04,1.164058e-05,,
Fx,2.898276e-08,2.950154e-06,5.450751e-08,2.077599e-08,3.710825e-04,1.305881e-05,,
Fx,2.006823e-07,1.530419e-06,5.599650e-08,2.753157e-08,1.811485e-04,7.938590e-06,,
Fx,3.581867e-07,1.650236e-07,4.531925e-07,4.318146e-09,1.371855e-04,2.564270e-07,,
Fx,5.958465e-07,1.185265e-08,1.003146e-07,3.653542e-08,2.340557e-06,4.874266e-08,,
Fx,7.415473e-09,3.183792e-07,8.933427e-08,1.009230e-06,3.273117e-05,2.459222e-07,,
Fx,1.918818e-07,1.577615e-06,1.079302e-08,1.038474e-06,7.760405e-05,4.394421e-06,,
Fx,7.345871e-07,2.953029e-06,2.500297e-08,8.260000e-07,1.657132e-04,8.978020e-06,,
Fx,2.262044e-06,3.861470e-06,3.871333e-07,7.932225e-07,6.045109e-04,8.656003e-06,,
Fx,2.984394e-06,5.150743e-06,3.073998e-06,9.529758e-07,1.534191e-03,9.271876e-06,,
Fx,7.879315e-07,3.955851e-06,1.048520e-06,5.258124e-08,9.475222e-04,1.006543e-05,,
Fx,3.201045e-08,2.575367e-06,3.476497e-08,5.429767e-08,3.884114e-04,9.863534e-06,,
Fx,1.452346e-07,1.630539e-06,1.069514e-08,1.338620e-07,1.857073e-04,6.930361e-06,,
Fx,3.838250e-07,2.343675e-07,2.294467e-07,1.786408e-07,1.442122e-04,1.397670e-07,,
Fx,6.171680e-07,3.643132e-08,2.548342e-07,8.531622e-08,7.810032e-06,4.582579e-08,,
Fy,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Fy,1.574160e-08,9.772640e-08,1.301990e-06,2.719831e-04,1.396214e-06,5.385277e-08,,
Fy,3.200555e-07,3.564307e-07,7.044200e-06,1.024187e-03,1.626654e-06,7.732426e-06,,
Fy,1.224585e-06,1.840171e-06,1.941313e-05,2.259899e-03,1.394777e-06,2.707513e-05,,
Fy,1.622691e-06,3.985753e-06,3.630440e-05,4.016132e-03,9.471844e-07,3.839206e-05,,
Fy,1.403541e-06,7.941987e-06,5.633204e-05,6.279069e-03,4.884168e-07,3.651826e-05,,
Fy,2.219775e-07,5.943194e-06,3.125089e-05,3.205885e-03,7.191651e-07,9.290465e-06,,
Fy,7.272238e-08,3.242055e-06,1.582534e-05,1.623865e-03,1.677321e-06,3.613222e-06,,
Fy,9.243184e-09,8.754057e-07,5.692993e-06,6.396391e-04,1.972062e-06,9.451948e-08,,
Fy,3.780300e-07,7.074200e-07,9.894917e-07,1.233918e-04,7.239311e-07,4.736079e-06,,
Fy,1.305924e-08,3.078826e-09,3.346119e-08,2.857830e-07,1.170984e-07,9.091310e-10,,
Fy,2.687584e-08,1.909184e-08,1.570004e-06,2.825907e-04,2.007193e-06,1.484893e-08,,
Fy,2.547225e-07,4.880732e-07,6.914217e-06,1.036295e-03,3.344427e-06,1.183312e-05,,
Fy,1.230291e-06,1.957616e-06,1.972745e-05,2.261331e-03,2.561208e-06,3.224350e-05,,
Fy,2.172911e-06,3.659849e-06,3.557116e-05,4.056683e-03,2.128827e-06,5.741640e-05,,
Fy,2.828952e-06,7.611518e-06,5.667682e-05,6.333477e-03,1.194604e-06,7.789675e-05,,
Fy,8.751121e-07,5.430584e-06,3.074604e-05,3.276554e-03,2.685214e-06,3.232862e-05,,
Fy,5.226739e-07,2.956709e-06,1.558095e-05,1.668317e-03,3.168131e-06,1.860564e-05,,
Fy,1.325296e-07,2.065697e-06,5.591499e-06,6.627652e-04,3.144584e-06,7.293520e-06,,
Fy,1.339313e-08,6.157051e-07,9.034482e-07,1.465554e-04,1.854900e-06,1.864963e-07,,
Fy,2.312532e-08,1.095459e-08,4.563969e-08,6.600100e-09,5.953369e-07,5.143156e-09,,
Fy,8.750603e-09,7.958659e-08,1.120880e-06,2.685250e-04,3.113313e-06,2.701887e-07,,
Fy,3.570513e-07,5.104752e-07,6.426991e-06,1.000911e-03,4.388430e-06,1.281742e-05,,
Fy,1.271137e-06,1.654015e-06,1.802982e-05,2.240735e-03,4.290807e-06,3.778524e-05,,
Fy,2.172068e-06,3.552629e-06,3.581726e-05,3.951129e-03,3.138066e-06,6.313631e-05,,
Fy,3.437362e-06,7.049518e-06,5.498621e-05,6.251578e-03,2.385987e-06,9.625956e-05,,
Fy,1.317779e-06,5.243271e-06,3.092685e-05,3.196855e-03,2.799037e-06,4.256186e-05,,
Fy,8.862569e-07,2.797335e-06,1.518788e-05,1.603844e-03,3.448326e-06,2.738135e-05,,
Fy,2.593104e-07,1.481908e-06,5.769723e-06,6.237590e-04,3.018490e-06,1.170314e-05,,
Fy,2.920992e-09,5.628921e-07,8.895479e-07,1.274794e-04,1.743456e-06,1.968365e-06,,
Fy,5.915309e-08,6.324046e-09,9.528749e-08,4.987611e-08,6.369049e-07,1.238280e-09,,
Fy,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Fy,1.973113e-08,2.362780e-09,5.900491e-07,3.644061e-05,2.861822e-09,7.839569e-07,,
Fy,1.932183e-12,3.278396e-07,3.131645e-06,2.619226e-04,1.168050e-07,2.370200e-07,,
Fy,1.326793e-06,2.253603e-06,9.660579e-06,9.664386e-04,2.415758e-07,1.513919e-05,,
Fy,3.391436e-06,5.361164e-06,1.837573e-05,2.121134e-03,1.421955e-06,4.929854e-05,,
Fy,8.835191e-06,1.009562e-05,3.929107e-05,4.420559e-03,4.451899e-06,1.279120e-04,,
Fy,4.246258e-06,3.403069e-06,2.065543e-05,2.745129e-03,8.266821e-08,5.813428e-05,,
Fy,2.551983e-06,7.966879e-07,1.130588e-05,1.561757e-03,1.437453e-07,3.462320e-05,,
Fy,1.204727e-06,7.837480e-10,4.553327e-06,6.721499e-04,4.873068e-07,1.842469e-05,,
Fy,5.688353e-07,4.109499e-07,6.746229e-07,1.753450e-04,6.401173e-08,7.261694e-06,,
Fy,1.715366e-08,7.608674e-08,1.992846e-08,2.992164e-06,3.463388e-08,1.907769e-10,,
Fy,7.058878e-08,1.085108e-07,4.600164e-07,3.840047e-05,4.138214e-10,6.834898e-07,,
Fy,4.203185e-08,1.284027e-07,2.290493e-06,2.752313e-04,8.344692e-08,1.950911e-07,,
Fy,8.185821e-07,1.171924e-06,8.530818e-06,9.596458e-04,2.438404e-09,1.190363e-05,,
Fy,2.592495e-06,3.414283e-06,1.692588e-05,2.216669e-03,6.629482e-08,3.881648e-05,,
Fy,7.125520e-06,9.005757e-06,3.680536e-05,4.577308e-03,8.633409e-07,1.093714e-04,,
Fy,3.143284e-06,4.407213e-06,1.967322e-05,2.801402e-03,8.573102e-08,4.400613e-05,,
Fy,1.940921e-06,8.473476e-07,9.587895e-06,1.526159e-03,3.611123e-07,2.363895e-05,,
Fy,5.687145e-07,9.961298e-09,3.679698e-06,6.265010e-04,2.381116e-07,7.878420e-06,,
Fy,1.457088e-07,7.068929e-07,4.900249e-07,1.496004e-04,3.794205e-08,2.274192e-06,,
Fy,8.181731e-09,1.844914e-07,2.074407e-08,4.056635e-06,1.255175e-06,6.656400e-12,,
Fy,3.678244e-08,3.137010e-07,3.586188e-07,4.581189e-05,4.937142e-08,5.328415e-08,,
Fy,8.628118e-08,4.008237e-08,2.226108e-06,2.694484e-04,3.049277e-08,1.212391e-07,,
Fy,1.229689e-06,1.173000e-06,9.108415e-06,1.391963e-03,8.766790e-07,2.141220e-05,,
Fy,2.387245e-06,3.462799e-06,1.685586e-05,2.275398e-03,1.052590e-08,4.164952e-05,,
Fy,6.630875e-06,7.806248e-06,3.540241e-05,4.544841e-03,1.058885e-06,1.113984e-04,,
Fy,2.612352e-06,2.768387e-06,1.824846e-05,2.933786e-03,1.150645e-06,4.622608e-05,,
Fy,1.765808e-06,5.645880e-07,9.364032e-06,1.577266e-03,7.984320e-07,2.678434e-05,,
Fy,5.626828e-07,2.719013e-08,3.256435e-06,6.673517e-04,1.558094e-07,8.747343e-06,,
Fy,2.127075e-07,9.076186e-07,3.965465e-07,1.593234e-04,1.673730e-07,2.407597e-06,,
Fy,7.143546e-09,3.187436e-07,3.296146e-08,9.779830e-06,1.913983e-06,6.027811e-10,,
Fz,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Fz,4.117051e-08,2.328761e-10,2.897057e-08,6.315195e-07,9.465601e-07,1.031416e-07,,
Fz,9.382128e-08,3.857272e-08,3.146076e-08,6.265900e-07,2.341750e-06,4.524701e-07,,
Fz,2.318574e-07,1.775728e-07,8.301033e-08,2.414319e-08,2.307594e-06,7.336457e-07,,
Fz,4.809585e-07,5.317836e-07,4.223832e-09,2.426446e-06,2.955231e-06,9.038122e-07,,
Fz,6.423927e-07,1.250004e-06,1.230876e-07,9.628786e-06,1.608470e-06,1.021295e-06,,
Fz,1.371876e-06,7.214253e-08,1.359831e-08,1.356486e-06,1.607115e-06,4.459173e-07,,
Fz,1.708833e-06,2.920583e-08,1.822719e-08,8.420675e-10,1.512325e-06,1.632150e-07,,
Fz,1.207721e-06,1.361803e-07,1.090522e-08,2.432859e-07,1.100293e-06,3.290124e-08,,
Fz,5.826876e-07,2.407630e-07,2.368714e-10,8.017340e-07,9.964351e-08,3.031360e-10,,
Fz,3.689399e-09,9.382187e-09,6.318249e-09,4.000072e-08,2.083128e-07,2.985542e-08,,
Fz,2.258399e-08,1.191164e-09,2.259757e-08,2.702609e-07,3.925075e-07,2.648463e-08,,
Fz,8.122155e-08,1.715312e-08,1.600988e-08,5.759357e-08,1.152033e-06,2.122344e-07,,
Fz,1.361014e-07,9.083890e-08,4.587027e-08,2.732757e-07,1.664223e-06,4.287871e-07,,
Fz,3.465848e-07,5.448044e-07,1.396663e-09,2.483056e-06,2.316858e-06,5.595623e-07,,
Fz,4.196759e-07,1.485022e-06,2.973174e-07,9.439342e-06,1.223359e-06,6.466842e-07,,
Fz,1.137148e-06,1.219801e-07,1.137557e-09,1.646773e-06,1.119454e-06,1.654597e-07,,
Fz,1.292682e-06,4.855205e-09,1.245142e-08,3.169603e-08,7.371648e-07,2.393673e-08,,
Fz,8.155548e-07,1.420660e-07,3.723328e-09,5.389390e-08,5.056339e-07,8.660350e-09,,
Fz,3.594228e-07,2.281426e-07,8.667961e-09,3.655438e-07,1.250501e-08,7.062615e-08,,
Fz,1.033691e-08,1.848843e-08,2.256842e-08,1.949519e-07,3.539753e-07,1.720884e-07,,
Fz,2.671805e-09,3.561805e-09,3.353651e-08,1.567693e-07,1.435751e-07,5.405984e-09,,
Fz,7.583320e-09,6.900982e-10,7.299933e-09,4.826414e-09,6.322095e-07,4.312326e-08,,
Fz,7.515792e-08,9.950359e-08,1.708606e-08,2.484508e-07,8.281662e-07,2.245920e-07,,
Fz,2.330008e-07,4.321284e-07,1.380549e-09,2.437067e-06,1.703523e-06,3.643146e-07,,
Fz,3.958588e-07,1.186136e-06,3.562973e-07,8.425672e-06,1.064719e-06,3.968257e-07,,
Fz,7.844226e-07,1.094608e-07,1.071271e-10,1.585761e-06,5.655034e-07,5.768691e-08,,
Fz,1.022398e-06,1.349234e-08,1.209418e-08,3.581064e-08,2.695531e-07,1.340614e-09,,
Fz,8.746159e-07,1.300049e-07,1.304743e-12,6.020712e-08,1.190344e-07,6.364913e-08,,
Fz,3.183679e-07,2.682533e-07,2.542283e-08,2.809719e-07,2.034010e-09,1.484316e-07,,
Fz,2.939559e-08,9.652129e-09,3.390499e-08,5.861810e-07,6.999839e-07,2.699607e-07,,
Mx,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Mx,9.023812e-08,1.344165e-08,1.455713e-09,1.931708e-05,7.462444e-06,2.906625e-06,,
Mx,1.700823e-08,2.331127e-10,3.543927e-10,2.182352e-05,3.896569e-06,3.390570e-06,,
Mx,1.203160e-07,1.447610e-08,1.539498e-08,1.391417e-05,9.569492e-07,5.099216e-06,,
Mx,6.793227e-07,4.069912e-07,2.374995e-08,1.672080e-05,3.947581e-08,6.104625e-06,,
Mx,9.535448e-07,3.136262e-06,1.321448e-08,4.382141e-05,1.605994e-06,1.169826e-05,,
Mx,9.495702e-06,7.939537e-06,1.403801e-07,1.255132e-04,3.799732e-05,4.460278e-06,,
Mx,8.531601e-06,4.357878e-05,7.663877e-08,5.167159e-04,2.521891e-05,6.661455e-06,,
Mx,6.059514e-06,9.396000e-05,9.207597e-09,1.044175e-03,1.658339e-05,6.169648e-06,,
Mx,3.167300e-06,8.016414e-05,1.100568e-08,8.567708e-04,1.136794e-05,3.460053e-06,,
Mx,4.603818e-07,2.869141e-09,5.089356e-12,8.852916e-06,2.021448e-06,4.399483e-09,,
Mx,1.816257e-07,9.824440e-08,2.089935e-10,5.431432e-06,4.117916e-06,1.675547e-06,,
Mx,6.311343e-07,1.581645e-07,1.276993e-10,5.930885e-06,2.786614e-06,1.708828e-06,,
Mx,1.382290e-06,8.761124e-08,1.319528e-08,3.124550e-06,6.720413e-08,1.981329e-06,,
Mx,1.695806e-06,1.233529e-08,2.983516e-08,4.631890e-06,9.646371e-07,4.142457e-06,,
Mx,1.530290e-06,1.653195e-06,2.304714e-08,2.512938e-05,4.793453e-06,1.168578e-05,,
Mx,1.092211e-05,1.242101e-05,6.959716e-08,1.835574e-04,4.347081e-05,5.995498e-06,,
Mx,8.213618e-06,4.896176e-05,7.498052e-08,5.616624e-04,2.155174e-05,5.357793e-06,,
Mx,6.178432e-06,1.048972e-04,1.857527e-09,1.135898e-03,1.583586e-05,6.151110e-06,,
Mx,3.713536e-06,7.709919e-05,1.765260e-08,7.918563e-04,1.012120e-05,4.333961e-06,,
Mx,4.157952e-07,1.585685e-08,7.204158e-09,9.336391e-06,5.937707e-07,1.967881e-09,,
Mx,1.399213e-07,1.755915e-07,3.692057e-10,1.967731e-06,4.793318e-06,1.906826e-06,,
Mx,6.122136e-07,3.571276e-07,2.320431e-10,2.458665e-06,3.036469e-06,1.807793e-06,,
Mx,1.233146e-06,6.827856e-07,3.660344e-08,4.650397e-08,4.716901e-07,2.798236e-06,,
Mx,1.862063e-06,1.389038e-07,1.089139e-07,3.272252e-09,1.240957e-06,4.401230e-06,,
Mx,1.902380e-06,6.557077e-07,6.543052e-08,1.797585e-05,8.623889e-06,9.413479e-06,,
Mx,1.094477e-05,1.565274e-05,4.168081e-09,2.027640e-04,4.088351e-05,5.720221e-06,,
Mx,8.042857e-06,5.539058e-05,3.974269e-11,6.049777e-04,1.793411e-05,4.692684e-06,,
Mx,6.815282e-06,1.105295e-04,2.009200e-10,1.180575e-03,1.595091e-05,6.743778e-06,,
Mx,3.196673e-06,7.597410e-05,1.619703e-08,7.976318e-04,6.947618e-06,3.612236e-06,,
Mx,3.256390e-07,3.702404e-08,9.387013e-10,1.095646e-05,4.330743e-07,1.587560e-09,,
Mx,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
Mx,5.022219e-08,1.434574e-06,1.526517e-08,6.164127e-05,6.185200e-06,3.071225e-06,,
Mx,1.844089e-09,4.816049e-06,4.053551e-08,1.478913e-04,4.814555e-06,4.996655e-06,,
Mx,1.059508e-06,8.634206e-06,1.271715e-09,1.570255e-04,1.229601e-07,6.596377e-07,,
Mx,3.911655e-06,1.753721e-05,2.938427e-10,2.389557e-04,1.074526e-05,2.327649e-07,,
Mx,7.291554e-06,3.227694e-05,2.138527e-09,3.648830e-04,4.121975e-05,1.494452e-06,,
Mx,5.433726e-06,6.832425e-06,3.986831e-08,2.580301e-05,1.134277e-05,1.604762e-06,,
Mx,2.069829e-06,6.836103e-08,3.699614e-08,5.842007e-06,3.532854e-07,2.524489e-08,,
Mx,6.206187e-07,2.692276e-06,8.381284e-09,5.669643e-05,1.347510e-06,3.807092e-07,,
Mx,6.825661e-09,9.875431e-06,4.525827e-09,1.383649e-04,3.908580e-06,2.406033e-06,,
Mx,2.457398e-09,8.880096e-10,7.418720e-10,4.549666e-06,8.086855e-07,4.366408e-09,,
Mx,5.724234e-09,1.928919e-06,1.637476e-08,4.731094e-05,2.206820e-06,1.077436e-06,,
Mx,2.353510e-07,4.132535e-06,2.099352e-08,8.976078e-05,2.227504e-06,1.564819e-06,,
Mx,1.472886e-06,7.839155e-06,1.510997e-08,1.183902e-04,5.034615e-07,6.090284e-08,,
Mx,5.041107e-06,1.374150e-05,9.956499e-09,1.607137e-04,1.507595e-05,1.260725e-06,,
Mx,9.102073e-06,2.496976e-05,4.422354e-09,2.380294e-04,4.250539e-05,3.458409e-06,,
Mx,6.074385e-06,4.422875e-06,3.184392e-08,8.037535e-06,1.317077e-05,2.489583e-06,,
Mx,2.364413e-06,1.294640e-08,3.827527e-08,1.867897e-05,3.976034e-07,1.195438e-07,,
Mx,5.686208e-07,3.482420e-06,1.665608e-08,8.430065e-05,1.686949e-06,5.237350e-07,,
Mx,3.541832e-08,1.079281e-05,2.943012e-08,1.694642e-04,1.633606e-06,7.935229e-07,,
Mx,5.667228e-10,3.459619e-08,1.267778e-10,7.474498e-06,1.538979e-06,1.920164e-10,,
Mx,4.448279e-09,1.836956e-06,1.224547e-08,3.416901e-05,1.172916e-06,4.648147e-07,,
Mx,1.541054e-07,4.126298e-06,2.184182e-08,6.955450e-05,1.908662e-06,9.674107e-07,,
Mx,1.489716e-06,7.159481e-06,6.987059e-09,9.218228e-05,6.856999e-07,3.484270e-10,,
Mx,4.720788e-06,1.497076e-05,9.530351e-10,1.473054e-04,1.420849e-05,1.570678e-06,,
Mx,9.206927e-06,2.655558e-05,1.566437e-09,2.295898e-04,4.382610e-05,4.098946e-06,,
Mx,6.149253e-06,5.217706e-06,4.585768e-08,5.558065e-06,1.205482e-05,2.662806e-06,,
Mx,2.116620e-06,2.499048e-08,1.011750e-08,1.366344e-05,5.667771e-07,1.558765e-07,,
Mx,6.727323e-07,3.012922e-06,1.564823e-09,7.642897e-05,5.652456e-07,1.912058e-07,,
Mx,8.028112e-08,1.037254e-05,5.503980e-09,1.724663e-04,7.937933e-07,3.092252e-07,,
Mx,7.461950e-09,2.898560e-08,1.903830e-09,7.988339e-06,1.157958e-06,1.237084e-09,,
My,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,
My,7.077329e-08,1.409525e-07,1.810145e-07,1.163810e-06,3.172421e-06,1.393483e-06,,
My,4.361824e-09,1.074902e-07,4.027272e-08,2.124643e-06,6.294027e-06,8.245501e-08,,
My,1.351860e-06,7.441927e-07,2.773616e-08,9.988636e-06,2.154302e-05,1.149816e-06,,
My,9.361959e-06,2.463487e-06,1.866220e-08,2.862650e-05,9.955310e-05,5.535125e-06,,
My,3.039720e-05,4.981515e-06,9.463079e-08,6.375023e-05,3.079465e-04,1.211372e-05,,
My,1.723653e-06,1.681233e-06,5.322899e-08,1.690304e-05,1.811098e-09,3.231937e-06,,
My,2.403746e-06,3.106635e-07,7.476874e-09,2.551031e-06,7.820223e-05,3.326173e-07,,
My,1.070629e-05,3.073108e-08,1.441484e-10,5.167884e-08,1.523332e-04,1.850035e-10,,
My,1.142295e-05,8.181786e-08,5.109143e-08,2.012505e-06,1.335554e-04,3.169931e-07,,
My,5.672292e-09,2.833525e-08,2.786698e-10,7.312791e-07,2.902870e-06,7.721488e-11,,
My,3.488114e-07,3.412758e-07,1.354112e-07,5.280402e-06,3.033372e-07,1.741035e-06,,
My,2.686907e-07,4.928955e-08,1.107213e-07,2.274699e-09,6.728618e-08,8.741053e-09,,
My,1.880866e-07,5.058858e-07,1.356792e-08,4.876857e-06,4.698243e-06,9.975775e-07,,
