========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
负值循环,-19.6,-20.24985212,0.07957161,"[-20.16016336, -20.27741684, -20.31197615]",-19.49693189,0.10373236,"[-19.39554461, -19.49239087, -19.60286018]",0.75292023
负值循环,-14.7,-15.88378496,0.04663399,"[-15.83656934, -15.88497084, -15.92981471]",-14.61196398,0.09864589,"[-14.51349152, -14.61161802, -14.71078239]",1.27182099
负值循环,-9.8,-11.47293809,0.05222788,"[-11.41568486, -11.48515427, -11.51797513]",-9.65541801,0.08006506,"[-9.56642174, -9.67823296, -9.72159934]",1.81752007
负值循环,-4.9,-6.32754939,0.03126718,"[-6.36353233, -6.30699706, -6.31211879]",-4.76452631,0.07658734,"[-4.68024401, -4.78347284, -4.82986209]",1.56302308
负值循环,0.0,-0.10051560,0.08707213,"[0.00000000, -0.14876925, -0.15277754]",-0.15568318,0.00873696,"[-0.14876925, -0.15277754, -0.16550274]",0.05516758
正循环标准偏差,0.07428210,,,,,,,
负循环标准偏差,0.07071487,,,,,,,
重复性,0.00297128,,,,,,,
Last记录量,0.00011885,,,,,,,
迟滞性,0.03635040,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
-1293.75500000,-14.7,-14.96239374,0.26239374,"[-1229.26000000, -1345.37000000, -1237.81000000, -1349.72000000, -1246.53000000, -1353.84000000]"
-1684.26833333,-19.6,-19.60364373,0.00364373,"[-1642.41000000, -1709.20000000, -1650.95000000, -1719.59000000, -1660.61000000, -1722.85000000]"
-2051.96000000,-24.5,-23.97365826,-0.52634174,"[-2045.99000000, -2053.13000000, -2056.76000000]"
-472.60733333,-4.9,-5.20305579,0.30305579,"[-396.57600000, -544.56200000, -405.39500000, -539.67200000, -409.36400000, -540.07500000]"
-898.05233333,-9.8,-10.25946855,0.45946855,"[-810.35900000, -972.88900000, -820.02600000, -979.13200000, -823.81400000, -982.09400000]"
7.97680250,0(正),0.50868545,-0.50868545,"[0.00000000, 8.89941000, 11.29880000, 11.70900000]"
-9.89122500,0(负),0.29632399,-0.29632399,"[0.00000000, -12.57670000, -12.93340000, -14.05480000]"
1206.61500000,14.7,14.75449742,-0.05449742,"[1168.74000000, 1233.42000000, 1175.76000000, 1241.69000000, 1181.21000000, 1238.87000000]"
